股票名称,代码,今开,最高,最低,成交量,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,跌停,外盘,振幅,量比,总市值,高净率,每股净资产,流通股本
 皖通高速,600012,5.9,5.93,5.82, 4.33万手,6.49, 1.91万手, 2545.78万,-11.17%, 68.30亿,9.06,0.16, 16.59亿,5.9,0.37%, non, 2.42万手,1.86%,0.91, 97.19亿,1.01,5.82, 11.66亿
 日照港,600017,3.31,3.33,3.29, 8.13万手,3.64, 3.56万手, 2685.63万,-39.89%, 101.80亿,14.91,0.06, 30.76亿,3.31,0.26%, non, 4.57万手,1.21%,0.18, 101.80亿,0.94,3.52, 30.76亿
 上港集团,600018,5.93,5.93,5.87, 6.38万手,6.49, 3.67万手, 3765.03万,-5.54%, 1367.25亿,20.7,0.07, 231.74亿,5.9,0.03%, non, 2.71万手,1.02%,0.41, 1367.25亿,1.91,3.09, 231.74亿
 东方财富,300059,12.89,13.1,12.75, 92.00万手,14.21, 43.91万手, 11.89亿,2.75%, 537.87亿,59.91,0.11, 51.68亿,12.92,2.22%, non, 48.09万手,2.71%,2.13, 669.28亿,4.76,2.72, 41.53亿
 上海机场,600009,58.21,58.94,57.79, 3.01万手,64.03, 1.28万手, 1.77亿,-12.69%, 642.96亿,27.83,0.53, 19.27亿,58.21,0.28%, non, 1.73万手,1.98%,1.43, 1133.05亿,4.33,13.57, 10.93亿
 包钢股份,600010,1.66,1.67,1.62, 148.37万手,1.84, 83.30万手, 2.44亿,-18.40%, 522.67亿,29.52,0.01, 455.85亿,1.67,0.47%, non, 65.07万手,2.99%,2.26, 752.15亿,1.51,1.1, 316.77亿
 东风汽车,600006,3.9,3.92,3.88, 4.04万手,4.3, 2.04万手, 1574.19万,2.74%, 78.20亿,15.1,0.06, 20.00亿,3.91,0.20%, non, 2.00万手,1.02%,0.3, 78.20亿,1.14,3.42, 20.00亿
 首创股份,600008,4.08,4.11,4.06, 7.34万手,4.5, 4.12万手, 2992.85万,-15.81%, 197.16亿,57.18,0.02, 48.21亿,4.09,0.15%, non, 3.22万手,1.22%,0.33, 197.16亿,2.41,1.7, 48.21亿
 中国国贸,600007,15.42,15.54,15.01, 9120手,16.96, 5319手, 1398.58万,-42.42%, 155.22亿,19.24,0.2, 10.07亿,15.42,0.09%, non, 3801手,3.44%,0.32, 155.22亿,2.33,6.62, 10.07亿
 三峡新材,600293,4.92,4.92,4.82, 11.78万手,5.39, 7.17万手, 5727.38万,-4.05%, 25.06亿,13.16,0.18, 11.62亿,4.9,2.28%, non, 4.61万手,2.04%,4.78, 56.36亿,1.44,3.37, 5.17亿
 白云机场,600004,13.5,13.87,13.5, 8.79万手,14.89, 3.69万手, 1.20亿,3.95%, 284.32亿,16.42,0.21, 20.69亿,13.54,0.42%, non, 5.09万手,2.73%,2.38, 284.32亿,1.84,7.46, 20.69亿
 文灿股份,603348,33.32,33.98,32.23, 7.86万手,36.66, 4.18万手, 2.61亿,57.75%, 18.46亿,44.2,0.25, 2.20亿,33.33,14.29%, non, 3.68万手,5.25%, --, 73.83亿,4.74,7.08, 5500.00万
 民生银行,600016,5.99,5.99,5.93, 31.69万手,6.57, 17.55万手, 1.89亿,-20.70%, 2113.54亿,4.37,0.41, 437.82亿,5.97,0.09%, non, 14.14万手,1.01%,1.52, 2609.43亿,0.58,10.28, 354.62亿
 华夏银行,600015,7.53,7.56,7.5, 7.93万手,8.29, 4.52万手, 5971.91万,-27.52%, 966.83亿,5.31,0.35, 128.23亿,7.54,0.06%, non, 3.41万手,0.80%,0.34, 966.83亿,0.64,11.87, 128.23亿
 浦发银行,600000,10.14,10.14,10.02, 13.17万手,11.15, 7.77万手, 1.33亿,3.78%, 2830.05亿,5.17,0.49, 293.52亿,10.14,0.05%, non, 5.40万手,1.18%,1.03, 2955.75亿,0.74,13.57, 281.04亿
 华能国际,600011,7.3,7.32,6.84, 51.31万手,8.17, 28.86万手, 3.61亿,62.47%, 728.70亿,24.78,0.14, 152.00亿,7.43,0.49%, non, 22.44万手,6.46%,9.12, 1054.91亿,1.49,4.67, 105.00亿
 当代东方,673,8.78,8.78,8.78, 9050手,10.73, --, 794.59万,-100.00%, 36.63亿,18.66,0.12, 7.92亿,9.75,0.22%, non, 9050手, --,0.09, 69.50亿,3.08,2.85, 4.17亿
 华孚时尚,2042,6.52,6.6,6.48, 2.67万手,7.21, 1.20万手, 1747.94万,-81.03%, 99.87亿,11.4,0.22, 15.19亿,6.55,0.18%, non, 1.47万手,1.83%,0.22, 99.97亿,0.94,6.98, 15.18亿
 武钢股份,600005,--, --, --, --,4.08, --, --, --, 374.48亿,75.85,0.04, 100.94亿,3.71, --, non, --, --, --, 374.48亿,1.3,2.85, 100.94亿
 金安国纪,2636,8.46,8.55,8.26, 10.36万手,9.42, 5.63万手, 8734.28万,-4.77%, 20.90亿,17.44,0.12, 7.28亿,8.56,4.21%, non, 4.73万手,3.39%,0.55, 61.73亿,2.67,3.17, 2.46亿
 新宝股份,2705,8.6,8.76,8.59, 9634手,9.53, 7083手, 833.67万,40.95%, 39.65亿,40.8,0.05, 8.13亿,8.66,0.21%, non, 2551手,1.96%,0.25, 70.28亿,1.86,4.64, 4.59亿
 潜能恒信,300191,18.74,18.95,18.35, 2.69万手,20.79, 1.44万手, 5038.36万,-13.39%, 38.96亿,362.06,0.01, 3.20亿,18.9,1.30%, non, 1.26万手,3.17%,0.26, 60.22亿,5.21,3.61, 2.07亿
 石大胜华,603026,21.26,21.75,21.2, 2.41万手,23.54, 1.04万手, 5179.03万,-77.37%, 43.58亿,16.54,0.65, 2.03亿,21.4,1.19%, non, 1.37万手,2.57%,0.19, 43.58亿,2.77,7.76, 2.03亿
 中电环保,300172,6.08,6.16,6.06, 2.05万手,6.73, 8822手, 1252.47万,-71.12%, 21.22亿,24.31,0.13, 5.22亿,6.12,0.59%, non, 1.17万手,1.63%,0.15, 32.01亿,2.57,2.38, 3.46亿
 日科化学,300214,5.01,5.14,5, 13.09万手,5.69, 6.75万手, 6624.93万,-34.28%, 15.42亿,15.4,0.08, 4.26亿,5.17,4.29%, non, 6.33万手,2.71%,2.09, 21.55亿,1.33,3.81, 3.05亿
 鑫广绿环,603302,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 光线传媒,300251,9.41,9.62,9.33, 26.12万手,10.35, 12.95万手, 2.48亿,-22.79%, 262.27亿,3.51,0.68, 29.34亿,9.41,0.95%, non, 13.17万手,3.08%,1.8, 279.57亿,2.69,3.55, 27.52亿
 天桥起重,2523,4.07,4.07,3.81, 56.85万手,4.07, 28.78万手, 2.26亿,-17.80%, 45.59亿,93.13,0.01, 14.17亿,3.7,4.84%, non, 28.07万手,7.03%,4.73, 54.97亿,1.88,2.07, 11.75亿
 易德龙,603380,16.3,16.74,16.29, 1.45万手,18.07, 7877手, 2401.26万,-40.57%, 7.95亿,30.85,0.13, 1.60亿,16.43,3.03%, non, 6643手,2.74%, --, 26.56亿,3.71,4.47, 4789.48万
 四方科技,603339,18.45,18.5,18.06, 7348手,20.09, 4623手, 1337.57万,6.98%, 10.51亿,33.86,0.13, 2.11亿,18.26,1.27%, non, 2724手,2.41%,0.26, 38.31亿,2.56,7.09, 5781.59万
 汉嘉设计,300746,25.37,26.15,25.25, 7.81万手,28.13, 4.04万手, 2.01亿,72.24%, 13.49亿,114.09,0.07, 2.10亿,25.57,14.86%, non, 3.78万手,3.52%, --, 53.95亿,6.63,3.87, 5260.00万
 宁德时代,300750,73.6,74.49,73.02, 11.67万手,81.47, 5.95万手, 8.62亿,40.80%, 161.72亿,97.81,0.21, 21.72亿,74.06,5.37%, non, 5.73万手,1.98%, --, 1617.16亿,5.79,12.86, 2.17亿
 安井食品,603345,34.27,35.72,33.65, 2.00万手,37.69, 7854手, 7006.32万,56.03%, 43.44亿,35.21,0.25, 2.16亿,34.26,1.63%, non, 1.22万手,6.04%, --, 76.39亿,4.37,8.09, 1.23亿
 欣锐科技,300745,57.23,58.09,56, 6.61万手,63.72, 3.34万手, 3.78亿,81.91%, 16.61亿,59.02,0.33, 1.15亿,57.93,23.08%, non, 3.26万手,3.61%, --, 66.43亿,6.84,8.48, 2863.00万
 越博动力,300742,59.27,60.5,58.36, 1.95万手,65.17, 1.02万手, 1.16亿,57.58%, 11.72亿, --,-0.17, 7849.86万,59.25,9.93%, non, 9289手,3.61%, --, 46.86亿,5.18,11.53, 1963.00万
 锐科激光,300747,154.28,166.4,153.3, 5.82万手,171.6, 2.89万手, 9.30亿,83.86%, 50.90亿,45.16,0.88, 1.28亿,156,18.18%, non, 2.92万手,8.40%, --, 203.58亿,34.19,4.65, 3200.00万
 华宝股份,300741,36.05,36.49,36.05, 9588手,39.92, 5295手, 3481.66万,4.42%, 22.45亿,20.26,0.45, 6.16亿,36.29,1.56%, non, 4293手,1.21%, --, 224.49亿,2.74,13.29, 6159.00万
 天地数码,300743,59.4,61.2,58.23, 3.10万手,66.65, 1.66万手, 1.85亿,-45.95%, 9.88亿,89.54,0.22, 6543.80万,60.59,18.77%, non, 1.44万手,4.90%, --, 39.20亿,17.02,3.52, 1650.00万
 御家汇,300740,--, --, --, --,32.9, --, --, --, 20.34亿,69.33,0.18, 2.72亿,29.91, --, non, --, --, --, 81.36亿,3.54,8.46, 6800.00万
 科顺股份,300737,11.99,12.15,11.89, 3.26万手,13.28, 1.89万手, 3916.72万,6.52%, 18.37亿,80.28,0.04, 6.11亿,12.07,2.14%, non, 1.37万手,2.15%, --, 73.46亿,2.56,4.69, 1.53亿
 明阳电路,300739,25.09,25.94,25.02, 5.77万手,27.78, 2.90万手, 1.47亿,8.48%, 11.97亿,113.38,0.09, 1.85亿,25.25,12.49%, non, 2.87万手,3.64%, --, 47.86亿,2.72,9.53, 4620.00万
 奥飞数据,300738,47.94,48.68,47.68, 8003手,52.8, 3960手, 3856.93万,6.06%, 7.90亿,90.95,0.13, 6526.60万,48,4.90%, non, 4043手,2.08%, --, 31.59亿,6.06,7.99, 1632.00万
 设研院,300732,33.41,33.98,33.11, 1.44万手,36.77, 7081手, 4840.14万,11.73%, 10.92亿,24.28,0.62, 1.30亿,33.43,4.44%, non, 7306手,2.60%, --, 43.66亿,1.53,21.95, 3240.00万
 百华悦邦,300736,22.52,23.14,22.52, 9202手,24.95, 4347手, 2106.07万,5.99%, 4.69亿,45.71,0.19, 8170.31万,22.68,4.52%, non, 4855手,2.73%, --, 18.81亿,2.96,7.78, 2036.58万
 光弘科技,300735,15.4,15.93,15.32, 3.78万手,16.92, 1.81万手, 5946.54万,-46.51%, 14.02亿,64.98,0.06, 3.55亿,15.38,4.26%, non, 1.96万手,3.97%, --, 56.07亿,3.45,4.59, 8868.00万
 西菱动力,300733,16.87,17.15,16.71, 1.26万手,18.56, 6001手, 2134.68万,-77.50%, 6.82亿,33.55,0.13, 1.60亿,16.87,3.15%, non, 6583手,2.61%, --, 27.30亿,2.45,6.97, 4000.00万
 科创新源,300731,33.2,35.1,32.7, 4.60万手,35.92, 2.24万手, 1.56亿,38.01%, 7.53亿,53.19,0.16, 8721.74万,32.65,20.89%, non, 2.35万手,7.35%, --, 29.86亿,5.97,5.74, 2200.00万
 乐歌股份,300729,26.69,27,26.1, 9172手,29.37, 5331手, 2441.73万,-9.68%, 5.52亿,42.33,0.16, 8739.58万,26.7,4.45%, non, 3840手,3.37%, --, 23.40亿,3.3,8.13, 2062.94万
 天常股份,300728,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 科创信息,300730,20.07,21.42,19.81, 9.71万手,22.07, 4.27万手, 2.00亿,22.45%, 8.19亿, --,-0.11, 1.58亿,20.06,24.58%, non, 5.44万手,8.03%, --, 32.76亿,5.22,3.97, 3950.80万
 海川智能,300720,29.45,30.88,29.3, 2.91万手,31.72, 1.52万手, 8695.97万,21.94%, 5.39亿,92.4,0.08, 7200.00万,28.84,16.16%, non, 1.39万手,5.48%, --, 21.55亿,5.04,5.94, 1800.00万
 N捷佳,300724,16.99,20.39,16.99, 489手,20.39, 488手, 99.74万,100.00%, 16.31亿,21.75,0.31, 3.20亿,14.16,0.06%, non,0,24.01%, --, 65.25亿,5.16,3.95, 8000.00万
 安达维尔,300719,12.84,13.03,12.71, 2.32万手,14.05, 1.10万手, 2988.47万,-25.59%, 8.16亿, --,-0.06, 2.53亿,12.77,3.68%, non, 1.22万手,2.51%, --, 32.81亿,2.29,5.67, 6300.00万
 润禾材料,300727,24.67,25.6,24.6, 3.15万手,27.43, 1.35万手, 7930.16万,86.80%, 8.12亿,77.8,0.11, 1.27亿,24.94,9.93%, non, 1.80万手,4.01%, --, 32.48亿,5.25,4.87, 3172.00万
 新余国科,300722,36.3,37.35,36.13, 1.85万手,39.52, 9223手, 6767.59万,-57.97%, 7.35亿,136.26,0.07, 8000.00万,35.93,9.23%, non, 9231手,3.40%, --, 29.40亿,7.53,4.88, 2000.00万
 一品红,300723,32.21,33.98,32.21, 1.36万手,35.59, 6394手, 4491.11万,-1.34%, 13.27亿,34.6,0.24, 1.61亿,32.35,3.39%, non, 7157手,5.47%, --, 53.56亿,4.63,7.16, 4000.00万
 宏达电子,300726,31.66,32.39,31.45, 7.92万手,35.15, 3.91万手, 2.53亿,-75.92%, 12.91亿,75.96,0.11, 4.00亿,31.95,19.75%, non, 4.01万手,2.94%, --, 128.79亿,9.12,3.53, 4010.00万
 怡达股份,300721,27.8,28.58,27.68, 2.05万手,30.43, 1.07万手, 5805.25万,-49.21%, 5.69亿,66.2,0.11, 8088.00万,27.66,10.23%, non, 9859手,3.25%, --, 22.95亿,2.64,10.74, 2005.00万
 药石科技,300725,56.76,58.2,56.51, 1.30万手,62.69, 6751手, 7451.50万,-73.44%, 15.77亿,78.51,0.27, 1.10亿,56.99,4.71%, non, 6208手,2.97%, --, 63.06亿,8.16,7.02, 2750.00万
 长盛轴承,300718,17.81,18.17,17.73, 3.43万手,19.79, 1.79万手, 6176.83万,-43.65%, 8.96亿,32.25,0.28, 1.98亿,17.99,6.94%, non, 1.64万手,2.45%, --, 35.84亿,1.73,10.43, 4950.00万
 华信新材,300717,18.85,19.34,18.76, 8505手,20.95, 4065手, 1623.63万,-2.30%, 4.93亿,39.91,0.19, 1.02亿,19.05,3.32%, non, 4440手,3.04%, --, 19.72亿,2.38,8.09, 2560.00万
 凯伦股份,300715,22.18,22.82,22.08, 2.25万手,24.36, 1.24万手, 5052.85万,-77.52%, 7.31亿,71.55,0.14, 1.30亿,22.15,6.96%, non, 1.01万手,3.34%, --, 29.25亿,4.14,5.45, 3240.00万
 国立科技,300716,14.95,15.09,14.73, 1.67万手,16.41, 7491手, 2494.87万,-42.58%, 6.00亿,28.86,0.19, 1.60亿,14.92,4.18%, non, 9223手,2.41%, --, 24.00亿,1.98,7.59, 4002.00万
 永福股份,300712,17.7,17.97,17.44, 9150手,19.47, 4883手, 1620.50万,-9.68%, 6.24亿,34.8,0.13, 1.40亿,17.7,2.61%, non, 4266手,2.99%, --, 24.96亿,2.81,6.34, 3502.00万
 英可瑞,300713,31,31.47,30.51, 6857手,34.1, 3594手, 2129.34万,-20.59%, 5.98亿,51.69,0.27, 9562.50万,31,3.59%, non, 3263手,3.10%, --, 29.92亿,2.29,13.65, 1912.50万
 威唐工业,300707,25.7,26.37,25.4, 4.04万手,28.6, 2.00万手, 1.05亿,-18.65%, 10.25亿,33.17,0.39, 1.57亿,26,10.27%, non, 2.04万手,3.73%, --, 40.98亿,3.35,7.78, 3930.00万
 聚灿光电,300708,14.54,14.79,14.25, 3.27万手,15.99, 1.77万手, 4759.09万,-46.31%, 9.43亿,384.79,0.01, 2.57亿,14.54,5.08%, non, 1.50万手,3.71%, --, 37.72亿,5.27,2.78, 6433.00万
 广哈通信,300711,17.24,18.13,17.24, 2.50万手,19.09, 1.08万手, 4422.50万,0.40%, 6.47亿, --,-0.04, 1.44亿,17.35,6.92%, non, 1.42万手,5.13%, --, 25.85亿,4.71,3.81, 3610.00万
 万隆光电,300710,28.35,28.48,27.8, 7227手,30.86, 3739手, 2040.63万,39.33%, 4.97亿,397.2,0.02, 6861.40万,28.05,4.13%, non, 3488手,2.42%, --, 19.47亿,3.37,8.41, 1750.00万
 精研科技,300709,33.8,35.62,33.8, 8502手,37.35, 4055手, 2955.71万,72.04%, 7.70亿,303.23,0.03, 8800.00万,33.95,3.86%, non, 4446手,5.36%, --, 30.79亿,2.42,14.47, 2200.00万
 电工合金,300697,12.88,12.88,12.56, 3.29万手,14.09, 1.93万手, 4183.96万,-58.22%, 6.64亿,38.18,0.11, 2.08亿,12.81,6.32%, non, 1.36万手,2.50%, --, 26.56亿,2.85,4.48, 5200.00万
 天宇股份,300702,16.08,16.87,15.93, 2.97万手,17.71, 1.41万手, 4865.01万,-25.22%, 7.32亿,36.58,0.17, 1.82亿,16.1,6.64%, non, 1.56万手,5.84%, --, 29.78亿,1.5,10.9, 4475.20万
 创源文化,300703,17.17,18.69,17.17, 3.90万手,19.02, 1.67万手, 6969.67万,27.58%, 5.40亿,306.28,0.02, 1.20亿,17.29,13.01%, non, 2.23万手,8.79%, --, 21.60亿,2.46,7.31, 3000.00万
 阿石创,300706,41.35,42.89,41.25, 4.94万手,45.98, 2.43万手, 2.07亿,4.68%, 15.03亿,112.03,0.17, 1.41亿,41.8,13.99%, non, 2.50万手,3.92%, --, 60.13亿,7.93,5.37, 3528.00万
 盛弘股份,300693,20.29,20.6,19.69, 3.11万手,21.65, 1.65万手, 6247.46万,-3.14%, 6.88亿,55.05,0.14, 1.37亿,19.68,9.08%, non, 1.46万手,4.62%, --, 27.52亿,3.07,6.56, 3421.50万
 森霸传感,300701,38.1,39.44,37.99, 2.58万手,41.17, 1.34万手, 9978.94万,-9.30%, 7.72亿,63.53,0.15, 8000.00万,37.43,12.91%, non, 1.24万手,3.87%, --, 30.90亿,6.88,5.62, 2000.00万
 岱勒新材,300700,42.06,42.1,39.33, 3.25万手,44.08, 1.74万手, 1.32亿,-76.24%, 8.30亿,21.2,0.47, 8240.00万,40.07,15.75%, non, 1.51万手,6.91%, --, 33.19亿,6.06,6.65, 2060.00万
 光威复材,300699,42.8,43.44,42.39, 1.59万手,47.3, 9200手, 6816.06万,-60.00%, 39.39亿,45.45,0.24, 3.68亿,43,1.73%, non, 6721手,2.44%, --, 157.54亿,5.89,7.27, 9200.00万
 万马科技,300698,17.06,17.48,16.83, 1.47万手,18.86, 7425手, 2526.12万,10.70%, 5.82亿, --,-0.01, 1.34亿,17.15,4.39%, non, 7271手,3.79%, --, 23.29亿,6.16,2.82, 3350.00万
 爱乐达,300696,25.8,26.6,25.5, 1.37万手,28.16, 6366手, 3575.94万,32.81%, 7.68亿,84.47,0.13, 1.17亿,25.6,4.67%, non, 7332手,4.30%, --, 30.70亿,2.55,10.27, 2932.50万
 联合光电,300691,22.89,24.87,22.8, 1.53万手,24.87, 1.09万手, 3718.32万,100.00%, 8.52亿,124.27,0.08, 1.40亿,22.61,4.47%, non, 4436手,9.16%, --, 34.84亿,2.5,9.96, 3424.00万
 双一科技,300690,22.36,23.79,22.09, 2.09万手,24.6, 8465手, 4773.30万,-63.95%, 12.43亿,29.3,0.4, 1.11亿,22.36,3.92%, non, 1.24万手,7.60%, --, 25.82亿,2.85,8.17, 5341.31万
 兆丰股份,300695,60.9,61.79,60.84, 2106手,66.92, 1050手, 1293.78万,-55.34%, 10.28亿,35.86,0.43, 6667.77万,60.84,1.26%, non, 1056手,1.56%, --, 41.09亿,2.48,24.85, 1667.77万
 智动力,300686,15.5,16.29,15.27, 12.29万手,17.69, 6.13万手, 1.96亿,-26.40%, 14.22亿,247.99,0.03, 2.07亿,16.08,13.95%, non, 6.15万手,6.34%, --, 33.46亿,3.12,5.17, 8807.22万
 中环环保,300692,17.32,17.4,16.93, 1.86万手,19, 9651手, 3198.65万,-38.61%, 6.90亿,85.35,0.08, 1.60亿,17.27,4.65%, non, 8965手,2.72%, --, 27.62亿,2.61,6.61, 4000.50万
 创业黑马,300688,46.01,48.89,45.92, 1.67万手,50.24, 7821手, 7921.81万,23.77%, 7.99亿,177.63,0.07, 6800.00万,45.67,9.80%, non, 8840手,6.50%, --, 31.97亿,8.39,5.6, 1700.00万
 隆盛科技,300680,21.85,23,21.83, 1.94万手,24.17, 9341手, 4335.07万,-2.67%, 7.83亿,227.31,0.02, 6800.00万,21.97,5.51%, non, 1.01万手,5.33%, --, 15.11亿,4.43,5.02, 3523.27万
 海特生物,300683,31.35,32.5,31.01, 1.49万手,33.83, 6442手, 4753.28万,60.50%, 15.25亿,34.9,0.23, 1.03亿,30.75,3.13%, non, 8460手,4.85%, --, 33.15亿,2,16.06, 4755.50万
 澄天伟业,300689,34.6,35.26,33.88, 1.24万手,37.55, 6390手, 4294.10万,-25.95%, 6.59亿,60.41,0.14, 6800.00万,34.14,6.51%, non, 6008手,4.04%, --, 23.53亿,4.33,7.99, 1904.00万
 英科医疗,300677,17.51,18.83,17.49, 3.86万手,18.83, 2.42万手, 7070.66万,100.00%, 18.99亿,41.16,0.23, 1.96亿,17.12,3.83%, non, 1.45万手,7.83%, --, 37.00亿,1.66,11.32, 1.01亿
 艾德生物,300685,52.26,53.49,51.53, 8803手,57.38, 5170手, 4650.44万,-21.09%, 48.10亿,54.64,0.48, 1.44亿,52.16,0.97%, non, 3632手,3.76%, --, 76.03亿,10.86,4.86, 9110.16万
 赛意信息,300687,20.66,20.74,20.2, 2.36万手,22.79, 1.40万手, 4817.86万,-52.29%, 12.91亿,76.59,0.12, 1.44亿,20.72,3.78%, non, 9574手,2.61%, --, 29.85亿,2.14,9.68, 6226.41万
 中石科技,300684,84.16,84.16,84.16, 1.71万手,84.16, 1.71万手, 1.44亿,100.00%, 18.28亿,138.57,0.15, 8687.00万,76.51,7.89%, non, --, --, --, 73.11亿,12.86,6.55, 2172.00万
 佩蒂股份,300673,46.98,47.88,46.38, 7926手,51.58, 4575手, 3739.53万,56.67%, 16.58亿,47.32,0.37, 1.20亿,46.89,2.26%, non, 3350手,3.20%, --, 56.70亿,4.3,10.98, 3508.20万
 朗新科技,300682,15.87,15.87,15.26, 2.12万手,17.04, 1.15万手, 3289.79万,-23.17%, 25.12亿, --,-0.06, 4.17亿,15.49,1.31%, non, 9722手,3.94%, --, 64.68亿,5.71,2.72, 1.62亿
 华大基因,300676,74.5,76.25,73.9, 4.62万手,82.51, 2.56万手, 3.46亿,90.36%, 183.97亿,74.08,0.25, 4.00亿,75.01,1.87%, non, 2.06万手,3.13%, --, 298.55亿,7.08,10.54, 2.47亿
 英搏尔,300681,43.69,46.26,43, 1.42万手,46.48, 6524手, 6362.48万,29.63%, 8.65亿,36.36,0.31, 7560.00万,42.25,7.52%, non, 7698手,7.72%, --, 34.60亿,5.19,8.82, 1890.00万
 电连技术,300679,27.68,28.79,27.68, 2.10万手,30.67, 1.02万手, 5932.80万,74.62%, 28.75亿,23.8,0.54, 2.16亿,27.88,2.08%, non, 1.08万手,3.98%, --, 61.47亿,1.08,26.43, 1.01亿
 中科信息,300678,23.35,23.35,22.1, 7.47万手,24.67, 4.20万手, 1.70亿,-29.46%, 18.73亿,1795.87,0.01, 1.80亿,22.43,8.96%, non, 3.27万手,5.57%, --, 40.46亿,4.28,5.25, 8331.98万
 建科院,300675,28.1,28.5,27.82, 1.15万手,30.89, 6565手, 3237.19万,86.73%, 22.69亿, --,-0.18, 1.47亿,28.08,1.43%, non, 4935手,2.42%, --, 41.26亿,10.54,2.67, 8066.67万
 国科微,300672,54.35,56.99,54.16, 4.91万手,57.84, 2.12万手, 2.73亿,-44.46%, 31.71亿, --,-0.34, 1.12亿,52.58,8.72%, non, 2.78万手,5.38%, --, 62.98亿,6.76,8.33, 5627.74万
 富满电子,300671,29.96,30.69,29.78, 2.57万手,33.19, 1.07万手, 7802.46万,-69.01%, 24.04亿,59.56,0.18, 1.42亿,30.17,3.27%, non, 1.51万手,3.02%, --, 43.39亿,5.98,5.11, 7861.77万
 鹏鹞环保,300664,16.16,16.28,16.01, 2.21万手,17.78, 1.13万手, 3563.13万,28.03%, 13.02亿,40.03,0.1, 4.80亿,16.16,2.76%, non, 1.07万手,1.67%, --, 78.14亿,2.66,6.12, 8000.00万
 科蓝软件,300663,14.6,15.15,14.58, 3.41万手,16.35, 1.74万手, 5080.08万,21.76%, 18.47亿, --,-0.15, 2.02亿,14.86,2.77%, non, 1.67万手,3.84%, --, 30.29亿,3.04,4.93, 1.23亿
 杰恩设计,300668,20.23,20.68,19.9, 1.52万手,21.95, 6834手, 3089.21万,-38.75%, 11.36亿,31.12,0.41, 1.05亿,19.95,2.71%, non, 8356手,3.91%, --, 21.35亿,2.13,9.53, 5609.54万
 必创科技,300667,31.66,31.66,30.05, 7.36万手,31.66, 4.95万手, 2.28亿,38.79%, 20.73亿,185.87,0.08, 1.02亿,28.78,10.73%, non, 2.42万手,5.59%, --, 30.80亿,8.6,3.51, 6865.60万
 江丰电子,300666,53.5,54.82,52.88, 7.47万手,58.95, 3.33万手, 4.03亿,63.36%, 63.46亿,227.64,0.06, 2.19亿,53.59,6.43%, non, 4.14万手,3.62%, --, 119.40亿,20.66,2.64, 1.16亿
 大烨智能,300670,--, --, --, --,21.61, --, --, --, 9.55亿,166.06,0.05, 1.94亿,19.65, --, non, --, --, --, 38.20亿,3.66,5.36, 4860.00万
 沪宁股份,300669,20.98,21.03,20.59, 1608手,22.85, 711手, 335.56万,-63.61%, 5.39亿,83.82,0.06, 8420.00万,20.77,0.62%, non, 897手,2.12%, --, 17.57亿,3.92,5.32, 2585.00万
 中孚信息,300659,19.73,20.2,19.48, 1.07万手,21.7, 5097手, 2122.62万,31.10%, 12.59亿, --,-0.1, 1.32亿,19.73,1.68%, non, 5599手,3.65%, --, 26.18亿,4.07,4.86, 6370.51万
 世纪天鸿,300654,14.65,14.77,14.41, 1.53万手,16.1, 7806手, 2221.34万,12.39%, 5.06亿,139.18,0.05, 1.40亿,14.64,4.36%, non, 7468手,2.46%, --, 20.23亿,4.78,3.02, 3502.50万
 圣邦股份,300661,116,117.68,113, 4872手,128.26, 2912手, 5599.04万,18.96%, 48.87亿,131.17,0.29, 7912.55万,116.6,1.16%, non, 1960手,4.01%, --, 91.79亿,9.05,12.82, 4212.19万
 雷迪克,300652,19.56,19.78,19.42, 2610手,21.52, 1335手, 512.09万,1.98%, 5.80亿,32.08,0.15, 8800.00万,19.56,0.88%, non, 1274手,1.84%, --, 17.30亿,2.58,7.61, 2952.22万
 金陵体育,300651,37.77,38.03,37.26, 2435手,41.59, 1218手, 914.35万,-45.24%, 9.89亿,338.48,0.03, 7573.34万,37.81,0.92%, non, 1217手,2.04%, --, 28.42亿,4.62,8.12, 2634.04万
 民德电子,300656,22.03,22.73,21.88, 9159手,24.39, 4523手, 2039.64万,66.19%, 8.60亿,60.57,0.14, 9000.00万,22.17,2.37%, non, 4636手,3.83%, --, 20.04亿,3.11,7.16, 3861.80万
 江苏雷利,300660,22.68,22.87,22.39, 1.37万手,25.04, 6713手, 3109.01万,44.76%, 10.35亿,21.55,0.47, 1.83亿,22.76,3.02%, non, 7019手,2.11%, --, 41.74亿,1.14,20.01, 4548.60万
 延江股份,300658,14.89,16.03,14.66, 4.92万手,16.03, 3.59万手, 7735.44万,100.00%, 6.73亿,99.95,0.06, 1.50亿,14.57,11.72%, non, 1.33万手,9.40%, --, 24.05亿,2.11,7.6, 4200.00万
 弘信电子,300657,32.27,33,32.23, 5784手,35.81, 3135手, 1892.86万,56.33%, 21.66亿, --,-0.18, 1.04亿,32.55,0.88%, non, 2648手,2.37%, --, 34.11亿,6.88,4.77, 6604.09万
