股票名称,代码,今开,最高,最低,成交量,涨停,内盘,成交额,委比,流通市值,市盈率,每股收益,总股本,昨收,换手率,跌停,外盘,振幅,量比,总市值,高净率,每股净资产,流通股本
 澳柯玛,600336,3.93,3.95,3.9, 2.77万手,4.35, 1.60万手, 1089.92万,-36.78%, 28.85亿,25.23,0.04, 7.77亿,3.95,0.38%, non, 1.18万手,1.27%,0.24, 30.60亿,1.68,2.35, 7.32亿
 宏达股份,600331,2.76,2.77,2.73, 8.91万手,3.06, 4.50万手, 2451.78万,33.66%, 56.29亿,128.23,0.01, 20.32亿,2.78,0.44%, non, 4.40万手,1.44%,0.64, 56.29亿,1.14,2.43, 20.32亿
 中新药业,600329,18.2,19.25,18.2, 9.69万手,19.37, 4.18万手, 1.82亿,-30.68%, 105.06亿,20.59,0.23, 7.69亿,17.61,1.71%, non, 5.51万手,5.96%,4.03, 142.78亿,3.08,6.03, 5.66亿
 洪都航空,600316,9.11,9.25,9.06, 3.51万手,10.03, 1.22万手, 3219.14万,-20.51%, 66.12亿, --,-0.03, 7.17亿,9.12,0.49%, non, 2.29万手,2.08%,0.7, 66.12亿,1.34,6.88, 7.17亿
 农发种业,600313,2.92,3.08,2.9, 35.10万手,3.25, 15.81万手, 1.05亿,-22.13%, 29.71亿, --,-0.01, 10.82亿,2.95,3.53%, non, 19.29万手,6.10%,2.65, 32.36亿,2.35,1.27, 9.94亿
 上海家化,600315,34.66,35.33,34.64, 1.90万手,38.14, 1.15万手, 6668.67万,-94.80%, 233.53亿,38.77,0.22, 6.72亿,34.67,0.28%, non, 7578手,1.99%,0.21, 233.69亿,4.17,8.34, 6.71亿
 华发股份,600325,6.43,6.65,6.43, 25.06万手,7.04, 12.23万手, 1.64亿,-70.45%, 125.00亿,5.93,0.28, 21.18亿,6.4,1.31%, non, 12.83万手,3.44%,3.54, 138.30亿,1.13,5.78, 19.14亿
 华泰股份,600308,4.76,4.83,4.75, 7.85万手,5.26, 4.18万手, 3759.33万,11.67%, 55.93亿,8.37,0.14, 11.68亿,4.78,0.67%, non, 3.66万手,1.67%,0.75, 55.93亿,0.76,6.27, 11.68亿
 平高电气,600312,5.25,5.27,5.17, 3.41万手,5.75, 1.59万手, 1780.33万,-16.39%, 71.10亿, --,-0.02, 13.57亿,5.23,0.25%, non, 1.82万手,1.91%,0.38, 71.10亿,0.81,6.5, 13.57亿
 万华化学,600309,--, --, --, --,54.88, --, --, --, 1364.00亿,9.81,2.54, 27.34亿,49.89, --, non, --, --, --, 1364.00亿,4.53,11.01, 27.34亿
 酒钢宏兴,600307,2.25,2.28,2.22, 39.46万手,2.49, 25.13万手, 8851.50万,-14.60%, 140.30亿,28.58,0.02, 62.63亿,2.26,0.63%, non, 14.33万手,2.65%,0.56, 140.30亿,1.44,1.55, 62.63亿
 曙光股份,600303,5.23,5.45,5.22, 8.54万手,5.81, 3.84万手, 4579.67万,-3.84%, 33.44亿,65.54,0.02, 6.76亿,5.28,1.38%, non, 4.70万手,4.36%,0.63, 36.42亿,1.17,4.61, 6.20亿
 标准股份,600302,4.63,4.75,4.57, 2.36万手,5.13, 1.26万手, 1092.06万,-4.13%, 16.02亿, --,-0.03, 3.46亿,4.66,0.68%, non, 1.09万手,3.86%,0.35, 16.02亿,1.34,3.46, 3.46亿
 ST南化,600301,5.13,5.2,5.12, 4286手,5.42, 1338手, 221.20万,20.93%, 12.23亿, --,-0.05, 2.35亿,5.16,0.18%, non, 2947手,1.55%,0.3, 12.23亿,5.22,1, 2.35亿
 维维股份,600300,3.2,3.23,3.2, 6.00万手,3.54, 3.22万手, 1931.85万,-35.50%, 53.84亿,27.38,0.03, 16.72亿,3.22,0.36%, non, 2.79万手,0.93%,0.28, 53.84亿,1.95,1.65, 16.72亿
 西藏天路,600326,7.66,8.05,7.53, 60.67万手,8.5, 28.81万手, 4.72亿,0.50%, 67.07亿,80.19,0.02, 8.65亿,7.73,7.01%, non, 31.86万手,6.73%,3.48, 67.07亿,2.5,3.1, 8.65亿
 营口港,600317,2.41,2.45,2.38, 11.35万手,2.67, 5.72万手, 2738.85万,-9.82%, 156.00亿,20.23,0.03, 64.73亿,2.43,0.18%, non, 5.63万手,2.88%,0.74, 156.00亿,1.42,1.7, 64.73亿
 恒顺醋业,600305,9.26,9.61,9.23, 9.54万手,10.26, 4.45万手, 9036.41万,-68.98%, 74.20亿,31.3,0.1, 7.84亿,9.33,1.22%, non, 5.09万手,4.07%,1.02, 74.20亿,3.07,3.08, 7.84亿
 S兰铝,600296,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 广汇汽车,600297,6.31,6.58,6.25, 21.28万手,6.97, 12.91万手, 1.37亿,22.59%, 469.07亿,12.07,0.14, 82.18亿,6.34,0.30%, non, 8.37万手,5.21%,1.24, 539.08亿,1.51,4.36, 71.51亿
 荣华实业,600311,3.08,3.13,3.06, 7.76万手,3.41, 4.64万手, 2401.01万,-21.31%, 20.57亿,2546.36,0, 6.66亿,3.1,1.17%, non, 3.11万手,2.26%,0.56, 20.57亿,2.48,1.25, 6.66亿
 桂东电力,600310,4.06,4.3,4.05, 7.76万手,4.49, 3.60万手, 3239.62万,-4.38%, 34.35亿, --,-0.09, 8.28亿,4.08,0.94%, non, 4.17万手,6.13%,0.33, 34.35亿,1.84,2.25, 8.28亿
 鄂尔多斯,600295,10.12,10.18,9.88, 12.31万手,11.18, 7.70万手, 1.23亿,8.77%, 60.96亿,12.35,0.2, 10.32亿,10.16,2.01%, non, 4.60万手,2.95%,1.39, 102.79亿,1.28,7.8, 6.12亿
 华仪电气,600290,4.21,4.32,4.18, 18.50万手,4.66, 10.03万手, 7840.54万,33.60%, 22.45亿,182.66,0.01, 7.60亿,4.24,3.51%, non, 8.47万手,3.30%,1.69, 32.37亿,0.78,5.48, 5.27亿
 商业城,600306,6.88,7.05,6.73, 2.00万手,7.43, 8438手, 1380.60万,-8.54%, 12.29亿, --,-0.14, 1.78亿,6.75,1.12%, non, 1.15万手,4.74%,0.6, 12.35亿,9.88,0.7, 1.77亿
 安琪酵母,600298,31.79,31.79,28.88, 35.77万手,35.09, 19.85万手, 10.71亿,16.60%, 243.35亿,21.94,0.34, 8.24亿,31.9,4.34%, non, 15.92万手,9.12%,3.96, 243.35亿,5.97,4.95, 8.24亿
 江苏舜天,600287,5.17,5.27,5.08, 2.72万手,5.69, 1.32万手, 1411.21万,-40.52%, 22.98亿,35.94,0.04, 4.37亿,5.17,0.62%, non, 1.40万手,3.68%,0.23, 22.98亿,1.13,4.66, 4.37亿
 西水股份,600291,13.32,13.5,13.22, 7.20万手,14.71, 4.00万手, 9610.16万,19.91%, 130.98亿,17.12,0.2, 10.93亿,13.37,0.74%, non, 3.20万手,2.09%,3.51, 146.25亿,1.14,11.75, 9.79亿
 远达环保,600292,5.89,5.93,5.84, 1.94万手,6.47, 9034手, 1142.75万,62.37%, 46.07亿,48.1,0.03, 7.81亿,5.88,0.25%, non, 1.04万手,1.53%,0.18, 46.07亿,0.94,6.28, 7.81亿
 安迪苏,600299,11.88,12.2,11.75, 2.60万手,13.17, 1.52万手, 3078.18万,2.54%, 67.97亿,32.43,0.18, 26.82亿,11.97,0.45%, non, 1.07万手,3.76%,1.51, 317.27亿,2.44,4.85, 5.75亿
 钱江水利,600283,11.05,11.08,10.95, 5791手,12.13, 3038手, 638.26万,-47.74%, 39.04亿,33,0.08, 3.53亿,11.03,0.16%, non, 2753手,1.18%,0.1, 39.04亿,2.1,5.26, 3.53亿
 太化股份,600281,4.21,4.27,4.11, 10.77万手,4.73, 6.49万手, 4501.56万,25.96%, 21.45亿, --,-0.02, 5.14亿,4.3,2.09%, non, 4.28万手,3.72%,1.13, 21.45亿,3.92,1.06, 5.14亿
 *ST信通,600289,2.4,2.43,2.38, 1.46万手,2.52, 6665手, 350.88万,-32.44%, 13.70亿, --,-0.18, 6.31亿,2.4,0.26%, non, 7918手,2.08%,0.09, 15.27亿,2.58,0.94, 5.66亿
 S*ST国瓷,600286,--, --, --, --, --, --, --, --, --, --, --, --, --, --, non, --, --, --, --, --, --, --
 重庆港九,600279,4.63,4.63,4.55, 2.79万手,5.08, 1.95万手, 1279.92万,1.10%, 31.81亿,39.25,0.03, 6.93亿,4.62,0.40%, non, 8365手,1.73%,0.39, 31.81亿,0.86,5.31, 6.93亿
 大恒科技,600288,7.65,7.69,7.5, 3.69万手,8.44, 2.25万手, 2803.73万,-14.88%, 33.24亿,89.17,0.02, 4.37亿,7.67,0.84%, non, 1.44万手,2.48%,0.48, 33.24亿,2.15,3.54, 4.37亿
 恒瑞医药,600276,67.05,70.63,67.03, 26.09万手,73.76, 10.79万手, 18.14亿,-19.98%, 2564.46亿,67.9,0.34, 36.82亿,67.05,0.71%, non, 15.30万手,5.37%,6.87, 2578.81亿,12.1,5.79, 36.62亿
 南钢股份,600282,4.82,4.9,4.78, 72.85万手,5.35, 45.30万手, 3.52亿,-16.69%, 186.51亿,5.26,0.23, 44.19亿,4.86,1.87%, non, 27.55万手,2.47%,3.43, 212.10亿,1.68,2.86, 38.86亿
 羚锐制药,600285,9.47,9.61,9.13, 8.51万手,10.43, 5.21万手, 7958.89万,-72.12%, 50.76亿,18.88,0.13, 5.92亿,9.48,1.59%, non, 3.30万手,5.06%,1.83, 56.15亿,2.53,3.74, 5.35亿
 开开实业,600272,7.7,7.84,7.66, 1.20万手,8.48, 4449手, 933.38万,-36.95%, 12.48亿,59.06,0.03, 2.43亿,7.71,0.75%, non, 7544手,2.33%,0.37, 18.95亿,3.77,2.07, 1.60亿
 航天信息,600271,27.7,28.44,27.61, 16.24万手,30.7, 7.41万手, 4.56亿,-57.39%, 517.48亿,128.91,0.05, 18.63亿,27.91,0.88%, non, 8.83万手,2.97%,1.95, 521.88亿,5.26,5.33, 18.47亿
 浦东建设,600284,5.3,5.39,5.27, 6.89万手,5.83, 2.75万手, 3674.65万,-44.92%, 51.62亿,17.62,0.11, 9.70亿,5.3,0.71%, non, 4.14万手,2.26%,1.19, 51.62亿,0.67,7.9, 9.70亿
 赣粤高速,600269,4.14,4.15,4.11, 5.71万手,4.55, 2.17万手, 2363.49万,-21.70%, 96.92亿,10.51,0.1, 23.35亿,4.14,0.24%, non, 3.54万手,0.97%,0.45, 96.92亿,0.66,6.28, 23.35亿
 北京城建,600266,8.86,9.12,8.86, 5.26万手,9.77, 2.30万手, 4735.76万,20.42%, 140.25亿,19.32,0.23, 15.67亿,8.88,0.34%, non, 2.96万手,2.93%,0.41, 140.25亿,0.76,11.83, 15.67亿
 中央商场,600280,9.49,9.49,9.31, 9.43万手,10.41, 4.85万手, 8860.22万,-65.58%, 108.52亿,68.25,0.03, 11.48亿,9.46,0.82%, non, 4.58万手,1.90%,0.99, 108.52亿,5.78,1.63, 11.48亿
 海正药业,600267,11.01,11.52,11.01, 9.95万手,12.16, 4.77万手, 1.13亿,34.81%, 109.39亿,253.45,0.01, 9.66亿,11.05,1.03%, non, 5.18万手,4.62%,0.81, 109.39亿,1.62,6.98, 9.66亿
 亿利洁能,600277,5.68,5.88,5.64, 18.37万手,6.26, 7.22万手, 1.07亿,-34.48%, 157.23亿,30.01,0.05, 27.39亿,5.69,0.69%, non, 11.15万手,4.22%,0.9, 161.05亿,1.11,5.3, 26.74亿
 ST昌鱼,600275,3.09,3.13,3.07, 1.52万手,3.24, 5518手, 472.24万,3.89%, 15.88亿, --,-0.02, 5.09亿,3.09,0.30%, non, 9686手,1.94%,0.03, 15.88亿,11.62,0.27, 5.09亿
 外运发展,600270,20.68,20.79,20.37, 2.69万手,22.76, 1.91万手, 5527.65万,-7.95%, 185.62亿,22.85,0.22, 9.05亿,20.69,0.30%, non, 7809手,2.03%,0.36, 185.62亿,2.21,9.26, 9.05亿
 北方股份,600262,18.02,18.78,18.02, 4135手,19.92, 1334手, 757.29万,-7.03%, 31.62亿,131.99,0.04, 1.70亿,18.11,0.24%, non, 2801手,4.20%,0.08, 31.62亿,2.98,6.23, 1.70亿
 ST景谷,600265,25.14,25.18,24.71, 595手,26.07, 299手, 148.55万,-65.05%, 32.45亿, --,-0.05, 1.30亿,24.83,0.05%, non, 296手,1.89%,0.08, 32.45亿,145.03,0.17, 1.30亿
 首旅酒店,600258,20.14,20.55,19.9, 5.37万手,22.1, 2.44万手, 1.09亿,31.52%, 128.23亿,66.65,0.09, 9.79亿,20.09,0.86%, non, 2.93万手,3.24%,1.77, 200.97亿,2.26,9.09, 6.25亿
 大湖股份,600257,4.67,4.85,4.62, 11.14万手,5.13, 5.48万手, 5310.84万,0.12%, 20.03亿,77.7,0.02, 4.81亿,4.66,2.61%, non, 5.66万手,4.94%,0.72, 22.57亿,1.75,2.68, 4.27亿
 广汇能源,600256,4.65,4.72,4.6, 63.02万手,5.15, 35.36万手, 2.94亿,-41.63%, 315.97亿,14.9,0.08, 67.37亿,4.68,0.94%, non, 27.65万手,2.56%,2.53, 315.97亿,2.61,1.8, 67.37亿
 广晟有色,600259,26.09,26.28,25.92, 1.15万手,28.73, 5885手, 3013.00万,37.74%, 68.52亿,561.72,0.01, 3.02亿,26.12,0.44%, non, 5652手,1.38%,0.19, 78.89亿,4.03,6.48, 2.62亿
 国电南自,600268,4.31,4.35,4.28, 2.68万手,4.74, 1.40万手, 1158.93万,1.52%, 27.57亿, --,-0.15, 6.95亿,4.31,0.42%, non, 1.28万手,1.62%,0.49, 30.17亿,1.38,3.15, 6.35亿
 嘉化能源,600273,8.1,8.41,8.02, 16.59万手,8.99, 7.00万手, 1.37亿,-55.96%, 122.66亿,10.69,0.39, 14.85亿,8.17,1.13%, non, 9.60万手,4.77%,1.44, 124.25亿,1.87,4.48, 14.66亿
 两面针,600249,4.27,4.32,4.24, 3.63万手,4.72, 1.87万手, 1551.09万,-15.84%, 23.48亿, --,-0.01, 5.50亿,4.29,0.66%, non, 1.76万手,1.86%,0.37, 23.48亿,1.26,3.39, 5.50亿
 冠农股份,600251,6.26,6.39,6.18, 8.72万手,6.89, 5.24万手, 5468.41万,-33.30%, 48.97亿,16.51,0.09, 7.85亿,6.26,1.11%, non, 3.49万手,3.35%,1.11, 48.97亿,2.41,2.59, 7.85亿
 延长化建,600248,4.86,4.94,4.86, 3.49万手,5.4, 2.31万手, 1708.89万,18.48%, 29.65亿,33.87,0.04, 6.16亿,4.91,0.57%, non, 1.18万手,1.63%,0.14, 30.05亿,1.45,3.37, 6.08亿
 凯乐科技,600260,21.24,21.6,21.16, 7.67万手,23.38, 3.82万手, 1.64亿,-24.15%, 134.70亿,12.52,0.43, 7.09亿,21.25,1.22%, non, 3.85万手,2.07%,0.67, 151.98亿,3.04,7.06, 6.28亿
 万通地产,600246,4.13,4.19,4.08, 1.87万手,4.53, 1.07万手, 774.34万,-5.92%, 50.25亿,13.26,0.16, 20.54亿,4.12,0.15%, non, 8006手,2.67%,0.09, 84.83亿,1.18,3.51, 12.17亿
 阳光照明,600261,3.88,3.9,3.82, 4.04万手,4.27, 2.75万手, 1556.43万,-11.67%, 56.05亿,19.74,0.05, 14.52亿,3.88,0.28%, non, 1.29万手,2.06%,0.6, 56.05亿,1.65,2.34, 14.52亿
 时代万恒,600241,7.66,7.97,7.6, 2.18万手,8.54, 1.10万手, 1693.77万,56.73%, 14.92亿, --,-0.05, 2.94亿,7.76,1.13%, non, 1.08万手,4.77%,0.81, 22.75亿,1.6,4.82, 1.93亿
 中恒集团,600252,3.1,3.15,3.09, 8.01万手,3.42, 4.01万手, 2499.47万,-44.38%, 108.42亿,23.05,0.03, 34.75亿,3.11,0.23%, non, 4.00万手,1.93%,0.24, 108.42亿,1.92,1.63, 34.75亿
 云南城投,600239,4.02,4.07,3.97, 2.71万手,4.39, 1.28万手, 1090.83万,9.28%, 64.55亿, --,-0.03, 16.06亿,3.99,0.17%, non, 1.43万手,2.51%,0.22, 64.55亿,1.36,2.95, 16.06亿
